DDI-MedLine.d74.s5|DDI-MedLine.d74.s5.e0|DDI-MedLine.d74.s5.e1|effect
DDI-MedLine.d74.s6|DDI-MedLine.d74.s6.e0|DDI-MedLine.d74.s6.e1|effect
DDI-MedLine.d164.s2|DDI-MedLine.d164.s2.e0|DDI-MedLine.d164.s2.e1|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e1|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e2|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e3|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e4|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e6|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e7|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e8|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e9|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e10|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e11|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e12|int
DDI-DrugBank.d446.s0|DDI-DrugBank.d446.s0.e0|DDI-DrugBank.d446.s0.e13|int
DDI-DrugBank.d19.s9|DDI-DrugBank.d19.s9.e2|DDI-DrugBank.d19.s9.e3|effect
DDI-DrugBank.d219.s19|DDI-DrugBank.d219.s19.e1|DDI-DrugBank.d219.s19.e2|effect
DDI-DrugBank.d219.s24|DDI-DrugBank.d219.s24.e1|DDI-DrugBank.d219.s24.e2|effect
DDI-DrugBank.d17.s28|DDI-DrugBank.d17.s28.e0|DDI-DrugBank.d17.s28.e1|mechanism
DDI-DrugBank.d179.s1|DDI-DrugBank.d179.s1.e0|DDI-DrugBank.d179.s1.e1|int
DDI-DrugBank.d179.s1|DDI-DrugBank.d179.s1.e0|DDI-DrugBank.d179.s1.e2|int
DDI-DrugBank.d328.s20|DDI-DrugBank.d328.s20.e1|DDI-DrugBank.d328.s20.e3|effect
